Fecha,Portafolio_Especulativo,SPY_Benchmark
2025-03-28,11877.399307249487,11750.389717549984
2025-03-31,11892.826350266983,11829.267005183541
2025-04-01,11960.348779976464,11862.67883211679
2025-04-02,12033.130164784334,11937.749709087064
2025-04-03,11391.736674824559,11349.447794351003
2025-04-04,10628.940118749042,10685.017666349308
2025-04-07,10567.344656834624,10665.9856130329
2025-04-08,10399.75074545761,10498.926478366659
2025-04-09,11560.063658264082,11601.516767163865
2025-04-10,11084.545277858122,11093.149476356715
2025-04-11,11293.44157264831,11291.082830847352
2025-04-14,11425.584858879341,11400.622871046231
2025-04-15,11437.455753567408,11368.69131492648
2025-04-16,11078.514237960608,11115.987940336401
2025-04-17,11069.211353030898,11131.847984766742
2025-04-21,10733.792718734712,10866.879509150536
2025-04-22,10965.845039211385,11149.611234528722
2025-04-23,11145.076441371239,11322.379985189888
2025-04-24,11476.807082605188,11560.703586163125
2025-04-25,11550.598719772803,11644.233153496245
2025-04-28,11530.76018675838,11648.673965936741
2025-04-29,11674.793892589714,11722.053104834447
2025-04-30,11722.603600481369,11726.70538453401
2025-05-01,11937.48156283664,11809.812017348992
2025-05-02,12172.514190870992,11985.118375119011
2025-05-05,12133.65637694134,11916.391515920874
2025-05-06,12047.354679530335,11816.79043689834
2025-05-07,12189.00390888231,11866.48524278007
2025-05-08,12316.946390403518,11949.168941076907
2025-05-09,12308.87984252733,11933.943298423783
2025-05-12,12733.848548940805,12328.32973659156
2025-05-13,12946.37264405309,12409.74463133397
2025-05-14,13026.702360060566,12425.604675764309
2025-05-15,13097.760043022032,12486.295779117743
2025-05-16,13242.630832115274,12565.384534010369
2025-05-19,13260.234423670965,12579.129905849997
2025-05-20,13187.279300961043,12536.836454035758
2025-05-21,12946.336788031162,12325.580662223634
2025-05-22,12939.209475067311,12330.444409182272
2025-05-23,12856.448031601236,12246.280440071936
2025-05-27,13152.98203614035,12500.887019993654
2025-05-28,13032.88801599595,12428.565217391306
2025-05-29,13167.537730430166,12477.625621495821
2025-05-30,13086.604954949447,12463.668782397124
2025-06-02,13128.249257410742,12533.875912408761
2025-06-03,13280.353658637403,12605.351845974825
2025-06-04,13287.598901697942,12601.968369829685
2025-06-05,13210.778376773622,12541.06579921718
2025-06-06,13315.687721388822,12669.849359991538
2025-06-09,13321.42216199634,12681.268591981381
2025-06-10,13385.891741026411,12753.16746006559
2025-06-11,13335.332919887149,12716.795091505344
2025-06-12,13407.900324473283,12767.335766423359
2025-06-13,13169.342311773582,12624.595366550304
2025-06-16,13325.043248795464,12744.70876970274
2025-06-17,13227.466315424605,12635.803131281076
2025-06-18,13225.829425414591,12633.899925949438
2025-06-20,13213.15032417856,12567.076272082937
2025-06-23,13374.222893187818,12691.207553157728
2025-06-24,13602.241335789475,12831.410345921931
2025-06-25,13714.381203272453,12838.600232730352
2025-06-26,13795.840123528731,12939.04718078917
2025-06-27,13950.608392810876,13003.333227546811
2025-06-30,14018.798571720985,13065.504601713743
2025-07-01,13978.457401748936,13061.275256532319
2025-07-02,14095.931248410512,13120.486089072254
2025-07-03,14219.36853165492,13223.893578758069
2025-07-07,14070.906174929836,13125.34983603089
2025-07-08,14136.320246769934,13118.15994922247
2025-07-09,14246.198806336206,13196.825769596953
2025-07-10,14337.96500283978,13234.044007193486
2025-07-11,14309.615321658897,13187.521210197823
2025-07-14,14316.398251438153,13212.685814027293
2025-07-15,14395.795599911095,13156.224055855286
2025-07-16,14509.821502273184,13200.209245742095
2025-07-17,14608.014390588358,13280.989738707289
2025-07-18,14547.289548037013,13271.262244790016
2025-07-21,14451.091203846345,13296.426848619487
2025-07-22,14436.60609317839,13298.33005395113
2025-07-23,14655.58717767845,13411.465037554219
2025-07-24,14770.622492607374,13415.905849994711
2025-07-25,14883.307067081618,13472.579075425792
2025-07-28,14973.600298290858,13469.195599280654
2025-07-29,14728.150607772932,13433.669099756693
2025-07-30,14747.093792515996,13416.751719030997
2025-07-31,14745.068909570227,13366.422511372053
