Fecha,Portafolio_Agresivo,SPY_Benchmark
2024-12-13,11867.21556968672,12777.063260340636
2024-12-16,11876.650902367683,12831.621813181002
2024-12-17,11802.968402598064,12778.754998413204
2024-12-18,11432.786747618653,12397.902464825982
2024-12-19,11424.193785295853,12394.096054162701
2024-12-20,11555.574631224341,12500.887019993654
2024-12-23,11588.052112751811,12575.74642970486
2024-12-24,11697.068081831589,12715.526287950916
2024-12-26,11700.044767260984,12716.372156987201
2024-12-27,11590.592204257164,12582.513381995135
2024-12-30,11447.517226611955,12438.927113085794
2024-12-31,11415.251265936691,12393.67311964456
2025-01-02,11325.028068439542,12363.221834338307
2025-01-03,11437.709395590775,12517.804400719351
2025-01-06,11376.093437858483,12589.914736062627
2025-01-07,11334.605393445974,12447.597270707713
2025-01-08,11334.165268334047,12465.783454987837
2025-01-10,11108.724369458689,12275.46292182376
2025-01-13,11202.572395804875,12294.49497514017
2025-01-14,11313.851814771318,12311.412355865865
2025-01-15,11484.823827142947,12535.356183222259
2025-01-16,11569.530014567861,12511.248915688142
2025-01-17,11621.36221725744,12636.860467576433
2025-01-21,11753.753866996396,12752.533058288374
2025-01-22,11721.964392618069,12824.220459113512
2025-01-23,11796.805789957298,12894.216121866077
2025-01-24,11807.294176728079,12856.574949751404
2025-01-27,11768.030901515602,12674.713106950176
2025-01-28,11772.09652156855,12783.618745371841
2025-01-29,11734.743169839378,12726.311118163547
2025-01-30,11863.445016024873,12794.615042843543
2025-01-31,11777.979956229043,12726.52258542262
2025-02-03,11709.786663172332,12640.878345498784
2025-02-04,11796.950672145093,12725.676716386333
2025-02-05,11765.198371134657,12777.274727599706
2025-02-06,11734.516257773219,12821.682852004657
2025-02-07,11578.41849921973,12704.318523220143
2025-02-10,11619.172528458146,12790.597164921192
2025-02-11,11730.244029126805,12800.324658838465
2025-02-12,11694.403309197394,12759.088543319584
2025-02-13,11792.18619874642,12893.793187347934
2025-02-14,11753.973943263682,12893.15878557072
2025-02-18,11770.591577150817,12931.011424944463
2025-02-19,11797.993347375857,12961.462710250715
2025-02-20,11630.948285832881,12907.53855918756
2025-02-21,11367.436065486789,12686.766740717236
2025-02-24,11298.751535505113,12629.036178990798
2025-02-25,11313.48576143769,12566.230403046653
2025-02-26,11309.509370249962,12572.574420818788
2025-02-27,11228.044360549682,12371.891991960225
2025-02-28,11362.140203004248,12564.961599492226
2025-03-03,11249.931140369014,12344.824182799113
2025-03-04,11124.204859182857,12198.700306780918
2025-03-05,11263.993643645652,12329.810007405056
2025-03-06,11109.730703847017,12110.941394266372
2025-03-07,11233.15976396785,12178.822384428224
2025-03-10,11003.57190630204,11854.431609013014
2025-03-11,10874.843851642752,11755.887866285835
2025-03-12,10863.030955316568,11818.27070771184
2025-03-13,10733.310746616024,11660.727599703798
2025-03-14,10952.892556961413,11901.588807785889
2025-03-17,11063.389623625471,11993.365598222787
2025-03-18,10946.85370987795,11863.736168412146
2025-03-19,11027.405933758897,11992.942663704645
2025-03-20,11019.936322890017,11958.26203321697
2025-03-21,10968.30284804931,11926.330477097219
2025-03-24,11167.238675055705,12139.912408759126
2025-03-25,11189.036641560953,12169.09489051095
2025-03-26,11155.907097648025,12023.81688352904
2025-03-27,11128.74232518264,11991.88532740929
2025-03-28,10921.019598857702,11750.389717549984
2025-03-31,10995.513919194864,11829.267005183541
2025-04-01,11030.40462209178,11862.67883211679
2025-04-02,11083.239814878767,11937.749709087064
2025-04-03,10625.896631403464,11349.447794351003
2025-04-04,9928.908975505456,10685.017666349308
2025-04-07,9776.981620447361,10665.9856130329
2025-04-08,9613.760734851754,10498.926478366659
2025-04-09,10489.94095112432,11601.516767163865
2025-04-10,10123.516164970437,11093.149476356715
2025-04-11,10297.100828629513,11291.082830847352
2025-04-14,10440.155742092003,11400.622871046231
2025-04-15,10408.987924982333,11368.69131492648
2025-04-16,10192.05958530432,11115.987940336401
2025-04-17,10229.042970647317,11131.847984766742
2025-04-21,9954.780375802244,10866.879509150536
2025-04-22,10174.774147444614,11149.611234528722
2025-04-23,10308.259741056017,11322.379985189888
2025-04-24,10564.462342196757,11560.703586163125
2025-04-25,10546.16739934532,11644.233153496245
2025-04-28,10575.734019552248,11648.673965936741
2025-04-29,10733.900881110578,11722.053104834447
2025-04-30,10760.030589331242,11726.70538453401
2025-05-01,10793.433959599624,11809.812017348992
2025-05-02,10983.159438880124,11985.118375119011
2025-05-05,10961.404749100693,11916.391515920874
2025-05-06,10878.70021381447,11816.79043689834
2025-05-07,10966.711899487402,11866.48524278007
2025-05-08,11096.961258199179,11949.168941076907
2025-05-09,11088.589254673567,11933.943298423783
2025-05-12,11386.17532875909,12328.32973659156
2025-05-13,11438.10698526352,12409.74463133397
2025-05-14,11436.188651774675,12425.604675764309
2025-05-15,11541.230006842703,12486.295779117743
2025-05-16,11657.967648575082,12565.384534010369
2025-05-19,11688.041304521728,12579.129905849997
2025-05-20,11646.87764363521,12536.836454035758
2025-05-21,11476.263648287093,12325.580662223634
2025-05-22,11452.879044140229,12330.444409182272
2025-05-23,11408.16998115775,12246.280440071936
2025-05-27,11642.72442298317,12500.887019993654
2025-05-28,11535.744884117972,12428.565217391306
2025-05-29,11580.55205857074,12477.625621495821
