Fecha,Portafolio_Conservador,SPY_Benchmark
2024-08-23,10739.75072423559,11887.20903416905
2024-08-26,10627.364381397329,11858.872421453507
2024-08-27,10649.452794809153,11875.155400401989
2024-08-28,10563.680493774224,11806.21707394478
2024-08-29,10565.212983385984,11807.274410240138
2024-08-30,10646.447442272489,11919.986459325082
2024-09-03,10400.447780764307,11674.684438802498
2024-09-04,10448.659529849898,11650.788638527454
2024-09-05,10443.47088644648,11622.452025811914
2024-09-06,10243.173603781981,11426.844811171059
2024-09-09,10348.55836853574,11554.782502909131
2024-09-10,10472.131565413356,11605.111710568075
2024-09-11,10605.433800289487,11724.167777425157
2024-09-12,10694.317626936318,11822.922987411406
2024-09-13,10767.083586605437,11884.671427060193
2024-09-16,10803.994757472075,11902.223209563104
2024-09-17,10828.195015325626,11907.086956521742
2024-09-18,10772.240054766924,11871.771924256851
2024-09-19,10920.382945824436,12074.357558447056
2024-09-20,10903.854948983542,12016.626996720619
2024-09-23,10956.894128880946,12046.655347508728
2024-09-24,10994.593490923808,12081.124510737332
2024-09-25,10954.941159813137,12054.479636094362
2024-09-26,11007.442373689904,12102.271236644452
2024-09-27,10988.347264144897,12084.719454141545
2024-09-30,10951.271014217016,12133.145456468847
2024-10-01,10855.529628211041,12024.451285306253
2024-10-02,10869.95334286307,12029.526499523963
2024-10-03,10835.248580759164,12007.53390458056
2024-10-04,10867.113882453745,12116.651010261294
2024-10-07,10813.015166770492,12007.110970062415
2024-10-08,10913.547256057916,12120.668888183645
2024-10-09,11015.392829224962,12204.62139003491
2024-10-10,10990.936014515677,12183.26319686872
2024-10-11,10996.274194276906,12256.219401248283
2024-10-14,11047.569170252402,12356.45488204803
2024-10-15,10943.850583623664,12260.448746429705
2024-10-16,10961.263882939333,12313.738495715646
2024-10-17,10966.619345835505,12314.795832011005
2024-10-18,10943.451351842034,12362.164498042952
2024-10-21,10859.001596376918,12341.863641172116
2024-10-22,10868.418452885602,12335.30815614091
2024-10-23,10739.246225035116,12222.596107055962
2024-10-24,10710.943307024496,12249.029514439862
2024-10-25,10718.276634970201,12244.800169258437
2024-10-28,10703.240152134742,12282.652808632183
2024-10-29,10902.481699960337,12302.530730984874
2024-10-30,10877.460197479546,12265.312493388343
2024-10-31,10743.69365266051,12024.874219824396
2024-11-01,10683.509392028027,12075.626362001482
2024-11-04,10720.741280947976,12049.615889135725
2024-11-05,10830.217376485074,12195.31683063578
2024-11-06,11070.31365499026,12498.56088014387
2024-11-07,11257.395392252496,12595.201417539407
2024-11-08,11293.61772278023,12649.759970379777
2024-11-11,11265.452441854603,12661.813604146833
2024-11-12,11187.627071261199,12622.480693959591
2024-11-13,11182.367649506501,12628.613244472657
2024-11-14,11101.039306580058,12547.409816989317
2024-11-15,10926.612179610413,12386.69470009521
2024-11-18,10950.591180602874,12437.446842272295
2024-11-19,10934.501829826513,12482.912302972602
2024-11-20,10949.534855884114,12487.141648154027
2024-11-21,11043.064977803624,12554.176769279595
2024-11-22,11089.440997806776,12593.086744948694
2024-11-25,11193.498595143,12635.803131281076
2024-11-26,11186.945571164364,12701.78091611129
2024-11-27,11087.509488323725,12663.293874960333
2024-11-29,11154.881229817092,12741.959695334815
2024-12-02,11182.521231565543,12764.798159314505
2024-12-03,11211.562702840298,12770.719242568497
2024-12-04,11307.838715074211,12850.019464720195
2024-12-05,11186.057077910671,12828.872738813076
2024-12-06,11334.646800433517,12853.191473606263
2024-12-09,11284.335083940643,12787.00222151698
2024-12-10,11108.561002167648,12747.246376811594
2024-12-11,11250.12920177689,12845.790119538773
2024-12-12,11167.330807320095,12779.60086744949
2024-12-13,11553.915030507444,12777.063260340636
2024-12-16,11810.86908856028,12831.621813181002
2024-12-17,11706.099437196717,12778.754998413204
2024-12-18,11334.15067661828,12397.902464825982
2024-12-19,11256.581597254577,12394.096054162701
2024-12-20,11333.700162233672,12500.887019993654
2024-12-23,11425.254714318282,12575.74642970486
2024-12-24,11533.77190057764,12715.526287950916
2024-12-26,11588.233340247882,12716.372156987201
