Fecha,Portafolio_Moderado,SPY_Benchmark
2024-10-31,10783.642864351466,12024.874219824396
2024-11-01,10749.227188625835,12075.626362001482
2024-11-04,10727.849079828486,12049.615889135725
2024-11-05,10855.448821774702,12195.31683063578
2024-11-06,11200.693283944633,12498.56088014387
2024-11-07,11313.594477754834,12595.201417539407
2024-11-08,11418.078265601525,12649.759970379777
2024-11-11,11471.243238549725,12661.813604146833
2024-11-12,11493.419660384727,12622.480693959591
2024-11-13,11467.445070404581,12628.613244472657
2024-11-14,11383.547488231623,12547.409816989317
2024-11-15,11271.769212152773,12386.69470009521
2024-11-18,11291.405122346723,12437.446842272295
2024-11-19,11228.867293279622,12482.912302972602
2024-11-20,11260.039047836595,12487.141648154027
2024-11-21,11417.690537190394,12554.176769279595
2024-11-22,11476.219194011297,12593.086744948694
2024-11-25,11566.68213036448,12635.803131281076
2024-11-26,11635.859912021418,12701.78091611129
2024-11-27,11591.420874502013,12663.293874960333
2024-11-29,11622.281745785658,12741.959695334815
2024-12-02,11573.692353408918,12764.798159314505
2024-12-03,11545.403005904805,12770.719242568497
2024-12-04,11609.294232529808,12850.019464720195
2024-12-05,11553.713998790774,12828.872738813076
2024-12-06,11607.957806720617,12853.191473606263
2024-12-09,11506.945848961952,12787.00222151698
2024-12-10,11431.181905373523,12747.246376811594
2024-12-11,11466.032547360413,12845.790119538773
2024-12-12,11396.656425738673,12779.60086744949
2024-12-13,11352.00268284109,12777.063260340636
2024-12-16,11354.389153042388,12831.621813181002
2024-12-17,11322.232876764052,12778.754998413204
2024-12-18,10951.769112885111,12397.902464825982
2024-12-19,10933.148137314893,12394.096054162701
2024-12-20,11029.51223398242,12500.887019993654
2024-12-23,11008.897448989504,12575.74642970486
2024-12-24,11084.121235022516,12715.526287950916
2024-12-26,11090.024078232744,12716.372156987201
2024-12-27,10992.698337946325,12582.513381995135
2024-12-30,10910.44355665713,12438.927113085794
2024-12-31,10890.45188986523,12393.67311964456
2025-01-02,10819.94635332026,12363.221834338307
2025-01-03,10873.82492269171,12517.804400719351
2025-01-06,10820.564903273114,12589.914736062627
2025-01-07,10748.072109477287,12447.597270707713
2025-01-08,10754.05662321905,12465.783454987837
2025-01-10,10622.044571410388,12275.46292182376
2025-01-13,10663.698195905476,12294.49497514017
2025-01-14,10783.128055410112,12311.412355865865
2025-01-15,10905.014480394415,12535.356183222259
2025-01-16,10984.586595437035,12511.248915688142
2025-01-17,11023.953628445102,12636.860467576433
2025-01-21,11134.535536512225,12752.533058288374
2025-01-22,11076.076616814456,12824.220459113512
2025-01-23,11129.818232458674,12894.216121866077
2025-01-24,11154.867451629932,12856.574949751404
2025-01-27,11195.232796851682,12674.713106950176
2025-01-28,11185.342994143286,12783.618745371841
2025-01-29,11109.95435719059,12726.311118163547
2025-01-30,11180.51793310521,12794.615042843543
2025-01-31,11145.352659631197,12726.52258542262
2025-02-03,11080.570641453347,12640.878345498784
2025-02-04,11121.724809421665,12725.676716386333
2025-02-05,11142.907322715695,12777.274727599706
2025-02-06,11117.85931283512,12821.682852004657
2025-02-07,10997.43854815323,12704.318523220143
2025-02-10,11039.442809997568,12790.597164921192
2025-02-11,11066.442236222294,12800.324658838465
2025-02-12,11020.688227431521,12759.088543319584
2025-02-13,11116.080827030632,12893.793187347934
2025-02-14,11079.45496613807,12893.15878557072
2025-02-18,11077.046658290152,12931.011424944463
2025-02-19,11102.320036390287,12961.462710250715
2025-02-20,10935.521353582619,12907.53855918756
2025-02-21,10751.181691396367,12686.766740717236
2025-02-24,10737.41969510769,12629.036178990798
2025-02-25,10786.908060617256,12566.230403046653
2025-02-26,10795.406796241647,12572.574420818788
2025-02-27,10748.397601570741,12371.891991960225
2025-02-28,10858.102615682881,12564.961599492226
2025-03-03,10766.508742552058,12344.824182799113
2025-03-04,10635.36377899522,12198.700306780918
2025-03-05,10733.522141925201,12329.810007405056
2025-03-06,10586.38996494602,12110.941394266372
2025-03-07,10689.6326565717,12178.822384428224
2025-03-10,10560.6759689238,11854.431609013014
2025-03-11,10476.906690718168,11755.887866285835
2025-03-12,10455.846256902534,11818.27070771184
2025-03-13,10383.9625262085,11660.727599703798
2025-03-14,10563.010465706277,11901.588807785889
2025-03-17,10654.24559994135,11993.365598222787
2025-03-18,10567.124998809943,11863.736168412146
2025-03-19,10624.082753140996,11992.942663704645
2025-03-20,10633.455015678595,11958.26203321697
2025-03-21,10620.511028809626,11926.330477097219
2025-03-24,10735.582065203474,12139.912408759126
2025-03-25,10764.297724285843,12169.09489051095
2025-03-26,10710.221317293359,12023.81688352904
2025-03-27,10718.11820941025,11991.88532740929
2025-03-28,10563.80754855848,11750.389717549984
2025-03-31,10594.463822523192,11829.267005183541
2025-04-01,10624.16364813629,11862.67883211679
2025-04-02,10654.611339016341,11937.749709087064
2025-04-03,10338.730071170827,11349.447794351003
2025-04-04,9836.340476059142,10685.017666349308
2025-04-07,9713.128456076474,10665.9856130329
2025-04-08,9621.34159003313,10498.926478366659
2025-04-09,10265.435086857357,11601.516767163865
2025-04-10,9967.54084906865,11093.149476356715
2025-04-11,10081.100663171446,11291.082830847352
2025-04-14,10198.490039039067,11400.622871046231
2025-04-15,10190.619680452373,11368.69131492648
2025-04-16,10067.24907123654,11115.987940336401
2025-04-17,10104.874096059939,11131.847984766742
2025-04-21,9871.892858475632,10866.879509150536
2025-04-22,10042.096705221757,11149.611234528722
2025-04-23,10168.89844058031,11322.379985189888
2025-04-24,10408.360197003523,11560.703586163125
2025-04-25,10401.035003221208,11644.233153496245
2025-04-28,10421.052329300193,11648.673965936741
2025-04-29,10532.615705671873,11722.053104834447
2025-04-30,10505.237812414804,11726.70538453401
2025-05-01,10516.426732021171,11809.812017348992
2025-05-02,10620.171267069669,11985.118375119011
2025-05-05,10592.4803839108,11916.391515920874
2025-05-06,10559.187217817938,11816.79043689834
2025-05-07,10619.55234705143,11866.48524278007
2025-05-08,10814.217975115185,11949.168941076907
2025-05-09,10817.65800330247,11933.943298423783
