Fecha,Portafolio_Normal,SPY_Benchmark
2024-07-31,12212.24948391104,11647.828096900455
2024-08-01,11782.165486417503,11482.883634824924
2024-08-02,11576.229704761035,11269.090235903946
2024-08-05,11323.814254582487,10940.893049825454
2024-08-06,11462.226232101515,11041.762932402413
2024-08-07,11197.995949825801,10967.960858986566
2024-08-08,11533.911430737726,11221.510102612929
2024-08-09,11566.00133986759,11270.993441235589
2024-08-12,11634.697480602394,11276.91452448958
2024-08-13,11967.519443888657,11462.371310695018
2024-08-14,12100.121915437383,11498.532211996193
2024-08-15,12368.200416983653,11695.619697450547
2024-08-16,12419.338565844828,11721.841637575373
2024-08-19,12627.455266912015,11833.919284883108
2024-08-20,12554.890237297739,11814.675764307629
2024-08-21,12620.444154784536,11855.277478049298
2024-08-22,12386.65063397844,11762.231884057974
2024-08-23,12633.257977493573,11887.20903416905
2024-08-26,12463.469726137497,11858.872421453507
2024-08-27,12550.378326477372,11875.155400401989
2024-08-28,12397.636028958212,11806.21707394478
2024-08-29,12251.910988898973,11807.274410240138
2024-08-30,12398.091012090992,11919.986459325082
2024-09-03,11838.21750412841,11674.684438802498
2024-09-04,11865.828237704072,11650.788638527454
2024-09-05,11823.315531160162,11622.452025811914
2024-09-06,11485.477539168367,11426.844811171059
2024-09-09,11706.173324417341,11554.782502909131
2024-09-10,11856.959015359947,11605.111710568075
2024-09-11,12223.376951011847,11724.167777425157
2024-09-12,12374.754055093808,11822.922987411406
2024-09-13,12457.037898757204,11884.671427060193
2024-09-16,12450.841627331123,11902.223209563104
2024-09-17,12438.875554574139,11907.086956521742
2024-09-18,12327.885087957893,11871.771924256851
2024-09-19,12623.815958379357,12074.357558447056
2024-09-20,12566.349952279556,12016.626996720619
2024-09-23,12642.076872852147,12046.655347508728
2024-09-24,12778.965783298392,12081.124510737332
2024-09-25,12831.23200493513,12054.479636094362
2024-09-26,12921.52126597787,12102.271236644452
2024-09-27,12817.51382318509,12084.719454141545
2024-09-30,12795.035104951126,12133.145456468847
2024-10-01,12583.739822130517,12024.451285306253
2024-10-02,12634.180899505713,12029.526499523963
2024-10-03,12700.579448069657,12007.53390458056
2024-10-04,12876.605578900871,12116.651010261294
2024-10-07,12829.698363617203,12007.110970062415
2024-10-08,13065.417638497835,12120.668888183645
2024-10-09,13194.573518460827,12204.62139003491
2024-10-10,13174.777214397338,12183.26319686872
2024-10-11,13234.156825760372,12256.219401248283
2024-10-14,13355.940819288777,12356.45488204803
2024-10-15,13068.659817100299,12260.448746429705
2024-10-16,13188.318453684004,12313.738495715646
2024-10-17,13236.055055024732,12314.795832011005
2024-10-18,13243.840475948899,12362.164498042952
2024-10-21,13300.2812376611,12341.863641172116
2024-10-22,13284.145593188423,12335.30815614091
2024-10-23,13073.391806204327,12222.596107055962
2024-10-24,13004.460524573962,12249.029514439862
2024-10-25,13028.692044581183,12244.800169258437
2024-10-28,13024.235891014634,12282.652808632183
2024-10-29,13243.0494872659,12302.530730984874
2024-10-30,13068.49397665486,12265.312493388343
2024-10-31,12766.520494265102,12024.874219824396
2024-11-01,12774.41208591295,12075.626362001482
2024-11-04,12779.514046321809,12049.615889135725
2024-11-05,12984.317461678396,12195.31683063578
2024-11-06,13431.929272428762,12498.56088014387
2024-11-07,13697.043993541238,12595.201417539407
2024-11-08,13738.132595350913,12649.759970379777
2024-11-11,13697.942184667027,12661.813604146833
2024-11-12,13727.352107853154,12622.480693959591
2024-11-13,13641.141293348246,12628.613244472657
2024-11-14,13553.541820376922,12547.409816989317
2024-11-15,13267.74251763758,12386.69470009521
2024-11-18,13297.182735085858,12437.446842272295
2024-11-19,13396.570667163154,12482.912302972602
2024-11-20,13374.998148437544,12487.141648154027
2024-11-21,13516.368420020772,12554.176769279595
2024-11-22,13481.319732086458,12593.086744948694
2024-11-25,13438.222266622364,12635.803131281076
2024-11-26,13471.402572093903,12701.78091611129
2024-11-27,13327.724931175371,12663.293874960333
2024-11-29,13453.830835331388,12741.959695334815
2024-12-02,13495.289722266809,12764.798159314505
2024-12-03,13540.530299040767,12770.719242568497
2024-12-04,13756.861091529716,12850.019464720195
2024-12-05,13604.640391395718,12828.872738813076
2024-12-06,13651.700393893438,12853.191473606263
2024-12-09,13446.627791761277,12787.00222151698
2024-12-10,13183.751610147496,12747.246376811594
2024-12-11,13411.61383279032,12845.790119538773
2024-12-12,13297.718687159731,12779.60086744949
2024-12-13,13594.3631550284,12777.063260340636
2024-12-16,13806.513774192865,12831.621813181002
2024-12-17,13641.66973529219,12778.754998413204
2024-12-18,13220.554257230324,12397.902464825982
2024-12-19,13182.706131748952,12394.096054162701
2024-12-20,13361.787929273376,12500.887019993654
2024-12-23,13591.480952632386,12575.74642970486
2024-12-24,13734.449663999647,12715.526287950916
2024-12-26,13781.313232506409,12716.372156987201
2024-12-27,13617.813354615848,12582.513381995135
2024-12-30,13491.942997742413,12438.927113085794
2024-12-31,13362.799684797214,12393.67311964456
2025-01-02,13387.925251889586,12363.221834338307
2025-01-03,13590.786203339618,12517.804400719351
2025-01-06,13692.811034601671,12589.914736062627
2025-01-07,13371.242114248915,12447.597270707713
2025-01-08,13356.221901479785,12465.783454987837
2025-01-10,13065.098939497759,12275.46292182376
2025-01-13,13048.225698594622,12294.49497514017
2025-01-14,13113.206311637927,12311.412355865865
2025-01-15,13348.248103391099,12535.356183222259
2025-01-16,13356.851457775503,12511.248915688142
2025-01-17,13573.195214961483,12636.860467576433
2025-01-21,13775.05305961208,12752.533058288374
2025-01-22,13897.664970135047,12824.220459113512
2025-01-23,13953.678914583454,12894.216121866077
2025-01-24,13901.980187663337,12856.574949751404
2025-01-27,12879.538138644417,12674.713106950176
2025-01-28,13141.999039165868,12783.618745371841
2025-01-29,12981.82661981363,12726.311118163547
2025-01-30,13190.196859867401,12794.615042843543
2025-01-31,13094.010928435264,12726.52258542262
2025-02-03,12946.733184329401,12640.878345498784
2025-02-04,13097.129517624493,12725.676716386333
2025-02-05,13272.133474845838,12777.274727599706
2025-02-06,13306.084185058,12821.682852004657
2025-02-07,13171.7078048126,12704.318523220143
2025-02-10,13386.428830359406,12790.597164921192
2025-02-11,13401.49794643231,12800.324658838465
2025-02-12,13296.061858112227,12759.088543319584
2025-02-13,13424.127325291947,12893.793187347934
2025-02-14,13451.847105018256,12893.15878557072
2025-02-18,13422.66758149968,12931.011424944463
2025-02-19,13328.800694323589,12961.462710250715
2025-02-20,13161.607676271184,12907.53855918756
2025-02-21,12762.24566855732,12686.766740717236
2025-02-24,12504.124154996574,12629.036178990798
2025-02-25,12389.655186556942,12566.230403046653
2025-02-26,12609.216829191884,12572.574420818788
2025-02-27,12191.67691636926,12371.891991960225
2025-02-28,12367.052313476746,12564.961599492226
2025-03-03,11934.314994750577,12344.824182799113
2025-03-04,11908.016477700265,12198.700306780918
2025-03-05,12066.313002866445,12329.810007405056
2025-03-06,11754.279385245889,12110.941394266372
2025-03-07,11997.436412323448,12178.822384428224
2025-03-10,11631.288041435088,11854.431609013014
2025-03-11,11712.704523274078,11755.887866285835
2025-03-12,11913.406775008394,11818.27070771184
2025-03-13,11847.679134370142,11660.727599703798
2025-03-14,12163.54989256388,11901.588807785889
2025-03-17,12197.947197909625,11993.365598222787
2025-03-18,11982.357860776789,11863.736168412146
2025-03-19,12153.88006843278,11992.942663704645
2025-03-20,12158.539243587824,11958.26203321697
2025-03-21,12135.377123655437,11926.330477097219
2025-03-24,12330.846142280234,12139.912408759126
2025-03-25,12325.847887131305,12169.09489051095
2025-03-26,12023.921605891415,12023.81688352904
2025-03-27,11884.132676228593,11991.88532740929
2025-03-28,11696.878928612696,11750.389717549984
2025-03-31,11657.198627827447,11829.267005183541
2025-04-01,11730.911976116917,11862.67883211679
2025-04-02,11822.796775552408,11937.749709087064
2025-04-03,11168.137375111157,11349.447794351003
2025-04-04,10528.60929764461,10685.017666349308
2025-04-07,10562.030447651336,10665.9856130329
2025-04-08,10466.686014900464,10498.926478366659
2025-04-09,11688.94211461184,11601.516767163865
2025-04-10,11161.324197910068,11093.149476356715
2025-04-11,11421.784180041934,11291.082830847352
2025-04-14,11474.758435195552,11400.622871046231
2025-04-15,11521.753515748602,11368.69131492648
2025-04-16,11194.763552197152,11115.987940336401
2025-04-17,11127.54068006955,11131.847984766742
2025-04-21,10818.792363278426,10866.879509150536
2025-04-22,11008.640558541274,11149.611234528722
2025-04-23,11264.17554344708,11322.379985189888
2025-04-24,11690.227753904943,11560.703586163125
2025-04-25,11833.0860508947,11644.233153496245
2025-04-28,11792.422863188436,11648.673965936741
2025-04-29,11931.122668176133,11722.053104834447
2025-04-30,11914.494486177799,11726.70538453401
2025-05-01,12016.36279776491,11809.812017348992
