ticker,return_annualized,volatility_annual,sharpe_ratio,sortino_ratio,max_drawdown,var_95,cvar_95,beta,skewness,kurtosis,cluster_kmeans,cluster_agglomerative,cluster_hierarchical,is_outlier_dbscan
EWZ,-0.0149874708349106,0.3201632786200842,-0.0424791492672098,-0.0402171037234876,-0.3979980934223069,-0.0338295962224533,-0.0482448770289807,0.7272548818846489,-0.3898971447789325,1.569731718367159,3,1,3,False
EXC,0.069776985058289,0.2214734960046127,0.1897783165771791,0.1758686519057584,-0.3144278606965173,-0.024082252226456,-0.0342752996931952,0.5744205153174093,-0.5937944931960824,2.461042371806596,3,1,3,False
EXPD,0.1135262753836434,0.259538209417865,0.3509621297946276,0.3553658559440893,-0.3601238755345819,-0.025992493335405,-0.0363726471092202,0.8899551512323576,0.0427861036211297,3.457697908462087,3,1,3,False
EXPE,0.0496518998293358,0.4541840529635789,0.2228913681200086,0.2346362232546435,-0.6085594013096352,-0.0380141831858165,-0.061114620238408,1.417485993685445,0.2428478393373639,5.884413789310267,2,0,0,False
EXR,0.133692442836997,0.2939534799987534,0.4034317789724311,0.4115635877654987,-0.5453623252326556,-0.0263977117281183,-0.0411479829634288,0.8594230284369928,-0.0129873242877891,6.111281521361848,1,1,3,False
F,0.1276546551002886,0.4266121723417627,0.3776182496931053,0.384502748519425,-0.6149265581579992,-0.0399033101847115,-0.0598417914598768,1.384967570368592,-0.0434036887404277,2.3527104506847247,2,0,0,False
FANG,0.4723085797566155,0.4456573835410089,0.9775475603558744,1.005048648216849,-0.3347256857855362,-0.0413053147390999,-0.0576858299239889,0.9401499284108804,0.1377418009046733,0.9468175072427556,1,2,1,False
FAST,0.1083052142109592,0.2373167907080748,0.340962009421801,0.328466013680725,-0.3191555417572183,-0.0240340987344614,-0.0347982229507848,0.8824708293794685,-0.1019207570806027,2.9123404665498085,3,1,3,False
FCX,0.1629700088521979,0.4740369336162771,0.4482650745769513,0.496297287046492,-0.5168496052378202,-0.0472287921791233,-0.0598184474610517,1.4683123446569009,0.2859239132619501,0.5744711841270105,2,0,0,False
FDS,0.1308902890512668,0.2384309895927384,0.4251864045349757,0.3968728645328847,-0.2866728035184617,-0.0243321846188651,-0.0345635748204583,0.7804645371990244,-0.2187607328162523,3.1842788326205738,3,1,3,False
FDX,-0.0002915170210994,0.3307171124154744,0.0165496308840763,0.0162084475648632,-0.5471973129693589,-0.0280834689544663,-0.0455348933845364,0.9989538894058594,-1.1454165782751091,19.72673243321113,2,1,3,False
FE,0.0754802179384446,0.2110252618565723,0.2129568214807618,0.2060811564898024,-0.3272802311184482,-0.021833706728337,-0.0296443049053704,0.506599699410395,0.0581156226973497,1.9863493214696324,3,1,3,False
FFIV,0.0059348969506427,0.2920099876831963,-0.0038581555924096,-0.0036938230347356,-0.4741706352409395,-0.0269480099051801,-0.042871321811501,1.1086867593992789,-0.6422146383956985,5.002466248734937,2,1,3,False
FIS,-0.2469144767969806,0.3638747025203902,-0.7240887752276953,-0.643555182627452,-0.697090371892864,-0.0327396143590352,-0.0545983384435975,1.0544117852356116,-2.751579747919386,31.651600846317837,-1,-1,-1,True
FITB,0.0824983970582198,0.3574055717113903,0.2604967862905655,0.2654459575082938,-0.5462834489593658,-0.0342455119777066,-0.0485668650078776,1.2093281334100323,-0.0576343327156373,2.6250734924435712,2,0,0,False
FMC,-0.178027277035215,0.310635167879032,-0.6348582912078246,-0.598165346520501,-0.6414796759624347,-0.0294242607776104,-0.0473055474108686,0.7728178936583416,-0.4560197217997241,7.475592564485789,0,0,0,False
FOX,-0.0090532829935535,0.2922868568963693,-0.056653469714982,-0.0599895271574949,-0.3588320463320463,-0.0273649902926855,-0.0397372466317033,0.7260350465458613,0.310262395970807,2.5866010987680634,3,1,3,False
FOXA,0.009914224381927,0.3065393267270112,0.0217472375414269,0.0226907595908838,-0.3623811679492982,-0.0288574232977789,-0.0421427547434671,0.6949285093618106,0.2466317651374778,3.0500829323141327,3,1,3,False
FRT,0.0784605066442418,0.2620816037935484,0.2278617304579193,0.2323080273774139,-0.3850182966205066,-0.0241907176134191,-0.0337213986048907,0.8922928089199508,0.1576551708166242,0.7546384788717542,3,1,3,False
FTNT,0.2639760185857442,0.4419314866813481,0.6450307942354403,0.5833356013911485,-0.3831589436970603,-0.0414307800999326,-0.0687772165880615,1.501842619629345,-1.5786319809047211,12.405057283586409,-1,-1,-1,True
FTV,0.022959533305672,0.24644605511602,0.012590473340441,0.0122396559799907,-0.3232136866823213,-0.0253392033021467,-0.0355569252553811,0.9919338777249288,-0.2637466984914666,2.395694021815057,3,1,3,False
FXI,-0.1974555286660876,0.3349326678331278,-0.6406724896466187,-0.7086681849477164,-0.6153846153846153,-0.03048279741845,-0.0412128353568507,0.7996420887827672,1.4442127472401771,14.174371976917964,0,0,0,False
GD,0.2132012585463818,0.198979256471498,0.8186845057484489,0.8220824846984224,-0.2016110111832329,-0.0184075488325236,-0.027800860280597,0.5850606195795649,0.1764731413141178,3.637630716427773,1,2,1,False
GDX,-0.0700740092794529,0.3327025732311357,-0.2029568485537685,-0.2146317634444654,-0.4651333496452165,-0.0334615384615385,-0.0426644645863218,0.6403912547687836,0.3464471790840755,1.164575273613384,0,1,3,False
