ticker,return_total,return_annualized,return_mean_daily,volatility_annual,downside_dev_annual,max_drawdown,var_95,cvar_95,sharpe_ratio,sortino_ratio,calmar_ratio,beta,alpha_annual,r_squared,correlation_spy,skewness,kurtosis,positive_return_ratio,gain_loss_ratio,vol_of_vol,momentum_6m,segmento,segmento_nombre,pca_1,pca_2
TAP,0.2118392397545041,0.0148942850133637,0.0002025963480893,0.2690039056806046,0.1987006532517985,-0.7065168539325842,-0.0258966854395817,-0.039729591251933,0.0039191985552855,0.0053058694133913,0.0722619417135393,0.7566134153297704,-0.0500535944442919,0.2383086979061683,0.4881687186887012,-0.1077011010581804,8.405356615198004,0.5009163103237629,1.0217884631986214,0.0069106114293046,-0.0810689085722864,1,Alto Rendimiento,0.6425343834457959,-1.579628222017821
TDG,13.077372669078764,0.2256734887039249,0.0010183287639923,0.3248379647742102,0.2640233162555608,-0.6264192239295974,-0.0259733444427162,-0.0471109549363473,0.6360674272469887,0.7825780368809683,0.4096599189856934,1.1358713532973184,0.1298927833873213,0.3683271410247351,0.6068996136304052,-0.0440117248905717,21.086082863416657,0.5455100794135614,0.9716794236013614,0.0113463974078363,0.128451112722405,0,Conservador,-1.2016270805357852,1.3585250954407917
TDY,9.031242975949652,0.1941277976657633,0.0008480861814226,0.2676887047651127,0.2049302409773558,-0.4894686088412932,-0.024279174066721,-0.0377807427515195,0.6115974070036349,0.7988948675300428,0.4366321227921706,1.0898495913874724,0.0901003397491555,0.4993235262300598,0.7066282800950298,-0.7303172052920368,15.638034874805848,0.5354306658521686,1.0003453886879985,0.0078487324331945,0.0873187964429285,0,Conservador,-0.17281750635610993,1.7153199137266386
TECH,3.5955926146515784,0.1244738180976332,0.0006141064317359,0.2737567903853606,0.1894047472938183,-0.6078533254156769,-0.0267372947681477,-0.0384004795976375,0.3826565202272894,0.5530738922554581,0.2545923734013059,0.9020241966086868,0.0436886067243314,0.3269522193702111,0.5717973586597013,0.2295325577783417,4.505584104676038,0.5163358778625954,1.0125372748752437,0.0068218043295996,-0.0490510229233424,0,Conservador,-0.06816600413682092,0.3749030712331112
TEL,2.938884216428371,0.1112146019006594,0.000558273354321,0.2645906684769341,0.1980142574286786,-0.4980614657210402,-0.025974204865381,-0.0386819442923129,0.3427365213252635,0.4579714939040367,0.2824649063850822,1.169271337594441,0.0126088167146121,0.5881987237974149,0.7669411475448523,-0.3973950719511689,7.082523653514819,0.5215267175572519,1.000029607248835,0.0071057641490726,0.0008548226243054,0,Conservador,0.15263999919768756,0.516523719522542
TER,6.541348158443363,0.1681431758906817,0.0008941078099843,0.3734744472681587,0.2626517293467443,-0.5765899383009018,-0.0346536207880852,-0.0522568696733056,0.4694167683985882,0.6674814917537534,0.3907719388583642,1.4653983428339974,0.076987341965661,0.4636426753873855,0.6809131188245572,0.0508315723407841,7.651594802417881,0.5218320610687023,1.0003935325854127,0.0093608329033164,-0.0269882542813593,2,Moderado,-1.8797718080059793,0.5796019704568948
TFC,0.4016704631738801,0.0263144781648214,0.0002971443892272,0.3116631655374413,0.2441082947452843,-0.6111852840824803,-0.0284863158297021,-0.0466080375468145,0.0798310125688361,0.1019235586042835,0.122516670534164,1.231171990991053,-0.0587861856950806,0.4699563560969647,0.6855336287134022,-0.338444760795695,12.253108586288969,0.5135877862595419,0.9757586170513256,0.0104791142230513,0.1761707550175215,2,Moderado,-0.1768038309946279,-1.1449193617862987
TFX,3.5433673469387754,0.1235255873967204,0.0005994453329457,0.2624973720493405,0.1999670340117798,-0.595831925199955,-0.0251880308928581,-0.0389684449554769,0.3849951834311454,0.5053844219961583,0.2535282476709103,0.9178272529291632,0.0390626452241235,0.36828240310324,0.6068627547503966,-0.144162665463497,8.089910685753459,0.5290164935858277,0.985631110610122,0.0074970692830649,0.0444435135927616,0,Conservador,0.09180208348817816,0.3944764678047029
TGT,1.3716902581182349,0.0687088908345545,0.0004222034331842,0.281672592812474,0.2187074241137755,-0.6058035211531965,-0.0246432346520329,-0.0399691167680567,0.2002156638646681,0.2578571138631947,0.175626686619285,0.7695562467925656,0.0044131260337856,0.2248539612063075,0.4741876856333445,-0.1680443103747883,26.82934100112092,0.5149664019547954,1.0091146978586985,0.0083784726291993,0.05605813436156,1,Alto Rendimiento,0.4553242041207254,-0.5195484776667003
TIP,0.0022377622377622,0.0001720105382432,7.810075484622052e-06,0.0599477304679632,0.0438960046686441,-0.2196240256762953,-0.0057309074350769,-0.0087870337308056,-0.8012290140582394,-1.0942194247620318,0.0089614012677538,-0.0224869825266968,-0.046512905788884,0.004238633468003,-0.0651047883646283,0.0846075689173019,10.989108438463012,0.5051924251679902,0.957888397518296,0.0017680556712868,0.0046733339564444,3,Estable,6.373815869216105,-1.904270011997271
TLT,-0.2271981242672919,-0.0320947692584268,-8.226128835311414e-05,0.1543924512590752,0.102971549440549,-0.5175730022731246,-0.0149945513217678,-0.0211709327197728,-0.4581172465893293,-0.6868872523455701,-0.0400520208240026,-0.1795224125792204,-0.0559533787281074,0.045847373468168,-0.2141199978240426,0.1612924545188363,5.526655029964937,0.5065326633165829,0.94330593093606,0.0040966751078441,-0.0313479623824451,-1,Outliers,4.177573812990628,-2.440996957377175
